failure_class,area,shape,mode,detail,signatures,rows,example_signature,example_seed,example_profile,example_replay_path
tree-mismatch,MathML / HTML integration tree construction,different-element-lines,full-document,<option> => <b>,1,1,2f9e75b88308,5741627,balanced,/Users/jonsurrell/a8c/wordpress-develop/html-api-fuzz/artifacts/html-api-fuzz/launch-20260615T204818398173Z/lane-01/seed-5741627/primary/replay.json
tree-mismatch,MathML / HTML integration tree construction,different-element-lines,fragment-body,<div> => <form>,1,1,305781c20f08,470281,foreign-content,/Users/jonsurrell/a8c/wordpress-develop/html-api-fuzz/artifacts/html-api-fuzz/launch-20260615T204818398173Z/lane-00/seed-470281/primary/replay.json
tree-mismatch,MathML / HTML integration tree construction,different-element-lines,fragment-body,<math math> => <custom-element>,1,1,3087a50fb8be,5668383,foreign-content,/Users/jonsurrell/a8c/wordpress-develop/html-api-fuzz/artifacts/html-api-fuzz/launch-20260615T204818398173Z/lane-02/seed-5668383/primary/replay.json
tree-mismatch,MathML / HTML integration tree construction,different-element-lines,fragment-body,<b> => <a>,1,1,318a785376b1,1333611,foreign-content,/Users/jonsurrell/a8c/wordpress-develop/html-api-fuzz/artifacts/html-api-fuzz/launch-20260615T204818398173Z/lane-00/seed-1333611/primary/replay.json
tree-mismatch,MathML / HTML integration tree construction,different-element-lines,full-document,<i> => <strong>,1,1,3489ced74bfe,6383047,foreign-content,/Users/jonsurrell/a8c/wordpress-develop/html-api-fuzz/artifacts/html-api-fuzz/launch-20260615T204818398173Z/lane-01/seed-6383047/primary/replay.json
tree-mismatch,MathML / HTML integration tree construction,different-element-lines,full-document,<svg svg> => <em>,1,1,361a27bbd43e,4187780,full-document,/Users/jonsurrell/a8c/wordpress-develop/html-api-fuzz/artifacts/html-api-fuzz/launch-20260615T204818398173Z/lane-04/seed-4187780/primary/replay.json
tree-mismatch,MathML / HTML integration tree construction,different-element-lines,fragment-body,<br> => <i>,1,1,3739bc3978bd,488041,foreign-content,/Users/jonsurrell/a8c/wordpress-develop/html-api-fuzz/artifacts/html-api-fuzz/launch-20260615T204818398173Z/lane-00/seed-488041/primary/replay.json
tree-mismatch,MathML / HTML integration tree construction,different-element-lines,fragment-body,<small> => <i>,1,1,374d81ede010,2556431,foreign-content,/Users/jonsurrell/a8c/wordpress-develop/html-api-fuzz/artifacts/html-api-fuzz/launch-20260615T204818398173Z/lane-00/seed-2556431/primary/replay.json
tree-mismatch,MathML / HTML integration tree construction,different-element-lines,fragment-body,<option> => <s>,1,1,39e5acdf8f0f,1979025,foreign-content,/Users/jonsurrell/a8c/wordpress-develop/html-api-fuzz/artifacts/html-api-fuzz/launch-20260615T204818398173Z/lane-04/seed-1979025/primary/replay.json
tree-mismatch,MathML / HTML integration tree construction,different-element-lines,fragment-body,<custom-element> => <section>,1,1,3b0e2e4ac7a2,4867778,foreign-content,/Users/jonsurrell/a8c/wordpress-develop/html-api-fuzz/artifacts/html-api-fuzz/launch-20260615T204818398173Z/lane-02/seed-4867778/primary/replay.json
tree-mismatch,MathML / HTML integration tree construction,different-element-lines,fragment-body,<option> => <b>,1,1,3d51d89e267d,8466208,foreign-content,/Users/jonsurrell/a8c/wordpress-develop/html-api-fuzz/artifacts/html-api-fuzz/launch-20260615T204818398173Z/lane-02/seed-8466208/primary/replay.json
tree-mismatch,MathML / HTML integration tree construction,different-element-lines,full-document,<img> => <strong>,1,1,3da0bcc233c7,4289537,full-document,/Users/jonsurrell/a8c/wordpress-develop/html-api-fuzz/artifacts/html-api-fuzz/launch-20260615T204818398173Z/lane-01/seed-4289537/primary/replay.json
tree-mismatch,MathML / HTML integration tree construction,different-element-lines,full-document,<math math> => <u>,1,1,41fe29b3b796,469472,foreign-content,/Users/jonsurrell/a8c/wordpress-develop/html-api-fuzz/artifacts/html-api-fuzz/launch-20260615T204818398173Z/lane-01/seed-469472/primary/replay.json
tree-mismatch,MathML / HTML integration tree construction,different-element-lines,full-document,<img> => <i>,1,1,43482d744d58,7234956,foreign-content,/Users/jonsurrell/a8c/wordpress-develop/html-api-fuzz/artifacts/html-api-fuzz/launch-20260615T204818398173Z/lane-00/seed-7234956/primary/replay.json
tree-mismatch,MathML / HTML integration tree construction,different-element-lines,full-document,<img> => <b>,1,1,43a793952fd0,4676936,foreign-content,/Users/jonsurrell/a8c/wordpress-develop/html-api-fuzz/artifacts/html-api-fuzz/launch-20260615T204818398173Z/lane-00/seed-4676936/primary/replay.json
tree-mismatch,MathML / HTML integration tree construction,different-element-lines,full-document,<button> => <b>,1,1,440153db0e9e,683444,foreign-content,/Users/jonsurrell/a8c/wordpress-develop/html-api-fuzz/artifacts/html-api-fuzz/launch-20260615T204818398173Z/lane-03/seed-683444/primary/replay.json
tree-mismatch,MathML / HTML integration tree construction,different-element-lines,full-document,<a> => <small>,1,1,45944d898ca0,432649,full-document,/Users/jonsurrell/a8c/wordpress-develop/html-api-fuzz/artifacts/html-api-fuzz/launch-20260615T204818398173Z/lane-03/seed-432649/primary/replay.json
tree-mismatch,MathML / HTML integration tree construction,different-element-lines,full-document,<code> => <a>,1,1,45fbc9811f5b,3002573,foreign-content,/Users/jonsurrell/a8c/wordpress-develop/html-api-fuzz/artifacts/html-api-fuzz/launch-20260615T204818398173Z/lane-02/seed-3002573/primary/replay.json
tree-mismatch,MathML / HTML integration tree construction,wordpress-scalar-dom-element,fragment-body,<!-- <comment> --> => <code>,1,1,4b196b07a396,981759,foreign-content,/Users/jonsurrell/a8c/wordpress-develop/html-api-fuzz/artifacts/html-api-fuzz/launch-20260615T204818398173Z/lane-03/seed-981759/primary/replay.json
tree-mismatch,MathML / HTML integration tree construction,different-element-lines,full-document,<wbr> => <em>,1,1,4bcc02b61acc,5157972,foreign-content,/Users/jonsurrell/a8c/wordpress-develop/html-api-fuzz/artifacts/html-api-fuzz/launch-20260615T204818398173Z/lane-01/seed-5157972/primary/replay.json
tree-mismatch,MathML / HTML integration tree construction,different-element-lines,fragment-body,<input> => <s>,1,1,4cc9a7cf0de6,8420470,foreign-content,/Users/jonsurrell/a8c/wordpress-develop/html-api-fuzz/artifacts/html-api-fuzz/launch-20260615T204818398173Z/lane-04/seed-8420470/primary/replay.json
tree-mismatch,MathML / HTML integration tree construction,different-scalar-lines,full-document,"""<value>"" => <!-- <comment> -->",1,1,4cdcc913be54,5779954,balanced,/Users/jonsurrell/a8c/wordpress-develop/html-api-fuzz/artifacts/html-api-fuzz/launch-20260615T204818398173Z/lane-03/seed-5779954/primary/replay.json
tree-mismatch,MathML / HTML integration tree construction,same-rendered-node-different-path-or-order,full-document,<menu> => <menu>,1,1,4de285debd60,5599428,full-document,/Users/jonsurrell/a8c/wordpress-develop/html-api-fuzz/artifacts/html-api-fuzz/launch-20260615T204818398173Z/lane-02/seed-5599428/primary/replay.json
tree-mismatch,MathML / HTML integration tree construction,different-element-lines,fragment-body,<small> => <b>,1,1,4e38b1afa77a,5930904,foreign-content,/Users/jonsurrell/a8c/wordpress-develop/html-api-fuzz/artifacts/html-api-fuzz/launch-20260615T204818398173Z/lane-03/seed-5930904/primary/replay.json
tree-mismatch,MathML / HTML integration tree construction,different-element-lines,fragment-body,<br> => <s>,1,1,50a757e0b341,5465830,foreign-content,/Users/jonsurrell/a8c/wordpress-develop/html-api-fuzz/artifacts/html-api-fuzz/launch-20260615T204818398173Z/lane-04/seed-5465830/primary/replay.json
tree-mismatch,MathML / HTML integration tree construction,different-element-lines,fragment-body,<custom-element> => <label>,1,1,56ff5e11252c,2106611,foreign-content,/Users/jonsurrell/a8c/wordpress-develop/html-api-fuzz/artifacts/html-api-fuzz/launch-20260615T204818398173Z/lane-00/seed-2106611/primary/replay.json
tree-mismatch,MathML / HTML integration tree construction,different-element-lines,full-document,<input> => <b>,1,1,5c1f3971f46f,4715801,full-document,/Users/jonsurrell/a8c/wordpress-develop/html-api-fuzz/artifacts/html-api-fuzz/launch-20260615T204818398173Z/lane-00/seed-4715801/primary/replay.json
tree-mismatch,MathML / HTML integration tree construction,different-element-lines,full-document,<embed> => <i>,1,1,5c480fff2c48,6490552,rawtext-rcdata,/Users/jonsurrell/a8c/wordpress-develop/html-api-fuzz/artifacts/html-api-fuzz/launch-20260615T204818398173Z/lane-01/seed-6490552/primary/replay.json
tree-mismatch,MathML / HTML integration tree construction,different-element-lines,full-document,<svg svg> => <s>,1,1,5c846a5c95cf,7487878,foreign-content,/Users/jonsurrell/a8c/wordpress-develop/html-api-fuzz/artifacts/html-api-fuzz/launch-20260615T204818398173Z/lane-02/seed-7487878/primary/replay.json
tree-mismatch,MathML / HTML integration tree construction,different-element-lines,full-document,<mark> => <custom-element>,1,1,600ce344f28a,6254641,foreign-content,/Users/jonsurrell/a8c/wordpress-develop/html-api-fuzz/artifacts/html-api-fuzz/launch-20260615T204818398173Z/lane-00/seed-6254641/primary/replay.json
tree-mismatch,MathML / HTML integration tree construction,different-element-lines,fragment-body,<input> => <strong>,1,1,64627f7af895,5036734,attributes-entities,/Users/jonsurrell/a8c/wordpress-develop/html-api-fuzz/artifacts/html-api-fuzz/launch-20260615T204818398173Z/lane-03/seed-5036734/primary/replay.json
tree-mismatch,MathML / HTML integration tree construction,different-element-lines,fragment-body,<mark> => <a>,1,1,64fba93a838d,7139409,balanced,/Users/jonsurrell/a8c/wordpress-develop/html-api-fuzz/artifacts/html-api-fuzz/launch-20260615T204818398173Z/lane-03/seed-7139409/primary/replay.json
tree-mismatch,MathML / HTML integration tree construction,different-element-lines,full-document,<select> => <a>,1,1,659d9d2cc014,7519181,select,/Users/jonsurrell/a8c/wordpress-develop/html-api-fuzz/artifacts/html-api-fuzz/launch-20260615T204818398173Z/lane-00/seed-7519181/primary/replay.json
tree-mismatch,MathML / HTML integration tree construction,same-rendered-node-different-path-or-order,full-document,<big> => <big>,1,1,68331d5734ae,2908826,balanced,/Users/jonsurrell/a8c/wordpress-develop/html-api-fuzz/artifacts/html-api-fuzz/launch-20260615T204818398173Z/lane-00/seed-2908826/primary/replay.json
